classifier,fbg,tp,fp,fn,tn,precision,recall,f1,support_pos,error_rate
AdaBoost,6,1758,23,150,3909,0.987085906793936,0.9213836477987422,0.9531038221740309,1908,0.029623287671232876
AdaBoost,7,2365,26,15,3434,0.9891258887494772,0.9936974789915967,0.991406413749738,2380,0.007020547945205479
AdaBoost,8,1371,6,25,4438,0.9956427015250545,0.9820916905444126,0.9888207717273712,1396,0.005308219178082192
AdaBoost,9,1036,0,1,4803,1.0,0.9990356798457087,0.9995176073323685,1037,0.00017123287671232877
AdaBoost,10,820,149,19,4852,0.846233230134159,0.9773539928486293,0.9070796460176992,839,0.028767123287671233
AdaBoost,11,283,11,13,5533,0.9625850340136054,0.956081081081081,0.9593220338983051,296,0.00410958904109589
AdaBoost,12,81,1,0,5758,0.9878048780487805,1.0,0.9938650306748467,81,0.00017123287671232877
MQ,0,343,14,73,5410,0.9607843137254902,0.8245192307692307,0.8874514877102199,416,0.014897260273972602
MQ,1,896,39,522,4383,0.9582887700534759,0.6318758815232722,0.761580960475988,1418,0.09606164383561644
MQ,2,3093,28,0,2719,0.9910285165011214,1.0,0.9954940457032507,3093,0.004794520547945206
MQ,3,3121,0,43,2676,1.0,0.9864096080910241,0.9931583134447096,3164,0.007363013698630137
MQ,4,3930,132,17,1761,0.9675036927621861,0.9956929313402584,0.9813959295792234,3947,0.025513698630136986
MQ,5,3346,521,39,1934,0.865270235324541,0.9884785819793205,0.9227799227799227,3385,0.0958904109589041
MQ,6,1687,12,221,3920,0.9929370217775162,0.8841719077568134,0.9354033823121707,1908,0.039897260273972605
MQ,7,2331,69,49,3391,0.97125,0.9794117647058823,0.9753138075313806,2380,0.020205479452054795
MQ,8,1336,84,60,4360,0.9408450704225352,0.9570200573065902,0.9488636363636364,1396,0.024657534246575342
MQ,9,1036,3,1,4800,0.9971126082771896,0.9990356798457087,0.998073217726397,1037,0.0006849315068493151
MQ,10,827,193,12,4808,0.8107843137254902,0.9856972586412396,0.8897256589564282,839,0.0351027397260274
MQ,11,270,49,26,5495,0.8463949843260188,0.9121621621621622,0.878048780487805,296,0.012842465753424657
MQ,12,0,0,81,5759,0.0,0.0,0.0,81,0.01386986301369863
